datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Solar,0,0.000,True
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Storage,0,0.000,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Wind,2952,0.039,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Coal,8875,0.117,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Gas,29605,0.393,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Hydro,1431,0.019,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Nuclear,31638,0.420,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Oil,224,0.003,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Other Renewables,560,0.007,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Solar,0,0.000,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Storage,0,0.000,False
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,Wind,2985,0.039,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Coal,8762,0.115,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Gas,29953,0.394,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Hydro,1436,0.018,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Nuclear,31531,0.415,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Oil,220,0.002,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Other Renewables,565,0.007,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Solar,0,0.000,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Storage,0,0.000,False
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,Wind,3398,0.044,True
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Coal,8864,0.115,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Gas,30003,0.391,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Hydro,1486,0.019,True
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Nuclear,31408,0.409,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Oil,218,0.002,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Other Renewables,577,0.007,True
