datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PN,1997.941160
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PS,5621.093260
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,RECO,187.388290
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,UG,112.770004
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PJM SOUTHERN REGION,15062.866200
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,AE,1217.163450
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,AEP,15965.334000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,APS,5608.690000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,ATSI,8320.115000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,BC,3480.916000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,COMED,9769.965000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,DAYTON,2158.868160
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,DEOK,3357.624000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,DOM,15123.695300
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,DPL,1968.713380
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,DUQ,1603.094000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,EKPC,1614.991700
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,JC,2808.924320
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,ME,1832.207400
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PE,4535.453000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PEP,3378.636230
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PJM MID ATLANTIC REGION,31699.546900
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PJM RTO,95221.920000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PJM WESTERN REGION,46783.690000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PL,4653.004390
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PN,1999.902590
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PS,5651.242680
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,RECO,189.037064
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,UG,113.990000
6/5/2025 3:15:00 AM,6/4/2025 11:15:00 PM,PJM SOUTHERN REGION,15123.695300
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,AE,1228.393800
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,AEP,15947.764600
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,APS,5687.118650
